id,name,category,domain,description,data_sources,priority,status,toast_relationship,build_strategy
48,Holiday Wine Demand Profile,Calendar & Holidays,calendar,Historical SKU spikes per holiday,"POS, calendar",tier1,planned,wineops_only,build
49,Vendor Holiday Blackout Predictor,Calendar & Holidays,vendor,Vendor silence Dec 20–Jan 2,email patterns,tier2,planned,wineops_only,build
50,Local Event Overlay,Calendar & Holidays,calendar,Private parties vs sales anomalies,"calendar, POS",tier2,planned,wineops_only,build
51,Menu Performance Scorecard,Menu Intelligence,menu,"Revenue, velocity, margin per placement","POS, menu metadata",tier2,planned,toast_overlap,build
52,Menu Update Recommendations,Menu Intelligence,menu,Remove/promote/add from 90-day data,"sales, trends",tier2,planned,wineops_only,build
53,New Addition Success Rate,Menu Intelligence,menu,Wines <90 days — hit rate vs forecast,"menu_changes, sales",tier2,planned,wineops_only,build
54,BTG Rotation Optimizer,Menu Intelligence,menu,Optimal 8 pours this week,"velocity, margin",tier2,planned,wineops_only,build
55,Inline PDF / File Viewer,Reports & Documents,documents,"Invoices, reports, vendor PDFs in-app","DocumentsPage, ReportingAgent",tier1,planned,wineops_only,build
56,Report Usage Analytics,Reports & Documents,documents,Which reports opened/exported/scheduled,report access logs,tier1,planned,wineops_only,build
57,AI-Generated Custom Reports,Reports & Documents,documents,Weekly digest from top used metrics,usage telemetry,tier2,planned,wineops_only,build
58,Document ↔ Analytics Linking,Reports & Documents,documents,Chart → source invoice PDF,OCR metadata,tier2,planned,wineops_only,build
59,Scheduled Report Delivery Tracking,Reports & Documents,documents,"Email opened, PDF viewed, action taken","Gmail, notifications",tier2,planned,wineops_only,build
60,Notification Channel Effectiveness,Notifications,notifications,SMS vs email vs in-app action rates,notification_deliveries,tier1,planned,wineops_only,build
61,Alert Fatigue Score,Notifications,notifications,Alerts/day vs actions taken,NotificationAgent,tier2,planned,wineops_only,build
62,Quiet Hours Compliance,Notifications,notifications,Alerts during quiet windows,"settings, deliveries",tier2,planned,wineops_only,build
63,Digest Engagement,Notifications,notifications,Weekly digest read/click rates,"Redis digest, Gmail",tier2,planned,wineops_only,build
64,Trending Wines (Metro),Market Intelligence,market,Velocity-ranked peer menu wines,trending_wines,tier2,planned,wineops_only,build
65,Wine Timeline Viewer,Market Intelligence,market,Full lifecycle across restaurants,analytics timeline API,tier2,planned,wineops_only,build
66,Category Shift Radar,Market Intelligence,market,"Natural wine +12, Bordeaux -8 locally",category_shifts,tier2,planned,wineops_only,build
67,Critic Score ↔ Sales Correlation,Market Intelligence,market,Do 95+ point wines sell better here?,"critic scores, POS",tier2,planned,wineops_only,build
68,Wine COGS % of Revenue,Financial,financial,Weekly/monthly beverage cost ratio,"invoices, POS",tier1,planned,toast_overlap,build
69,Budget Burn Rate,Financial,financial,Spend vs monthly wine budget,"PO, budget settings",tier1,planned,wineops_only,build
70,Dead Stock Capital Lock,Financial,financial,$ in zero-sales 60+ day inventory,inventory valuation,tier1,planned,wineops_only,build
71,7/30/90-Day Demand Forecast,Predictive AI,forecasting,Per-SKU predicted bottles,ML on POS,tier3,planned,wineops_only,build
72,Anomaly Explanation Engine,Predictive AI,ai,Multi-signal why was Tuesday slow?,"weather, events, POS",tier3,planned,wineops_only,build
73,Scenario Simulator,Predictive AI,forecasting,Stockout risk if ordering X before NYE,"forecast, calendar",tier3,planned,wineops_only,build
74,Manager Learning Loop,Predictive AI,ai,AI suggestion accept/reject tracking,decision_log,tier2,planned,wineops_only,build
75,Conversational Analytics,Predictive AI,ai,NL questions → multi-chart answers,Sommelier AI,tier3,planned,wineops_only,build
76,Causal Attribution Engine,Causal & Counterfactual,causal,"Was demand drop caused by rain, staff, or competitor?",,tier3,planned,wineops_only,build
77,Counterfactual Order Simulator,Causal & Counterfactual,causal,Revenue uplift if ordered X cases on date Y,,tier3,planned,wineops_only,build
78,Promotion Incrementality Test,Causal & Counterfactual,causal,Did promo cause incremental sales?,,tier3,planned,wineops_only,build
79,Confounding Variable Decomposer,Causal & Counterfactual,causal,"Isolate weather, holidays, events from true demand",,tier3,planned,wineops_only,build
80,Lead-Time Sensitivity Analysis,Causal & Counterfactual,causal,Stockout probability if lead time increases,,tier3,planned,wineops_only,build
81,Price Elasticity Grid,Causal & Counterfactual,causal,Wine × price-point iso-revenue matrix,,tier3,planned,wineops_only,build
82,Vendor Dependency Network,Graph & Network,network,Force-directed vendor-wine supply graph,,tier3,planned,wineops_only,build
83,Wine Co-Purchase Clustering,Graph & Network,network,Ticket-level wine family communities,,tier3,planned,wineops_only,build
84,Supply Chain Fragility Index,Graph & Network,network,HHI concentration per category,,tier3,planned,wineops_only,build
85,Communication Network Centrality,Graph & Network,network,Email thread bottleneck contacts,,tier3,planned,wineops_only,build
86,Influence Propagation Model,Graph & Network,network,Vendor A price hike → vendor B lag model,,tier3,planned,wineops_only,build
87,Portfolio Optimization (Efficient Frontier),Financial Engineering,financial,Markowitz wine SKU portfolio,,tier3,planned,wineops_only,build
88,Working Capital LP Optimizer,Financial Engineering,financial,Minimize cash locked at 98% service level,,tier3,planned,wineops_only,build
89,Vendor Credit Scoring,Financial Engineering,vendor,Composite vendor reliability score,,tier3,planned,wineops_only,build
90,Real-Time Price Arbitrage Detector,Financial Engineering,vendor,Cheapest vendor per SKU matrix,,tier3,planned,wineops_only,build
91,Inventory Carrying Cost Attribution,Financial Engineering,inventory,Opportunity cost per bottle per day,,tier3,planned,wineops_only,build
92,Multi-Horizon Ensemble Forecast,Time-Series & Forecasting,forecasting,ARIMA + LightGBM + Prophet ensemble,,tier3,planned,wineops_only,build
93,Demand Shock Detector,Time-Series & Forecasting,forecasting,PELT/CUSUM structural break alerts,,tier3,planned,wineops_only,build
94,Temporal Cross-Correlation Matrix,Time-Series & Forecasting,forecasting,Metro trend → local sales lag,,tier3,planned,wineops_only,build
95,Fourier Seasonality Decomposition,Time-Series & Forecasting,forecasting,Weekly/monthly/annual seasonality per SKU,,tier3,planned,wineops_only,build
96,Intraday Nowcast,Time-Series & Forecasting,forecasting,Run-out projection from mid-service pace,,tier3,planned,wineops_only,build
97,Agent Decision Audit Trail,Agent Observability,agent_observability,Searchable decision_log timeline,decision_log,tier2,planned,wineops_only,build
98,Saga Flow Visualizer,Agent Observability,agent_observability,Live PO → email → approval DAG,saga_state,tier2,planned,wineops_only,build
99,DLQ Pattern Analysis,Agent Observability,agent_observability,Failure clusters by agent and cause,dead_letter_queue,tier2,planned,wineops_only,build
100,Agent Throughput vs Latency Scatter,Agent Observability,agent_observability,Performance scatter by hour,agent metrics,tier2,planned,wineops_only,build
101,Circuit Breaker Trip History,Agent Observability,agent_observability,Open/half-open/closed transitions,BaseAgent,tier2,planned,wineops_only,build
102,Decision Fatigue Index,Behavioral Economics,behavioral,Rubber-stamp rate by queue depth + time,approval UI,tier3,planned,wineops_only,build
103,Loss Aversion Quantifier,Behavioral Economics,behavioral,Over-ordering after stockout events,"orders, inventory",tier3,planned,wineops_only,build
104,Anchoring Effect Tracker,Behavioral Economics,behavioral,First quote vs final price regression,negotiation_facts,tier3,planned,wineops_only,build
105,Confirmation Bias Audit,Behavioral Economics,behavioral,Faster approval for preferred wines,decision_log,tier3,planned,wineops_only,build
106,Nudge Effectiveness Score,Behavioral Economics,behavioral,Loss vs gain framing action rates,decision_log,tier3,planned,wineops_only,build
107,Regional Trend Velocity Map,Competitive Intelligence,market,Geographic category acceleration heatmap,trending_wines,tier3,planned,wineops_only,build
108,First-Mover Signal,Competitive Intelligence,market,"Wine on 4 new menus, not local yet",restaurant_wine_roster,tier3,planned,wineops_only,build
109,Competitive Markup Radar,Competitive Intelligence,market,Your markup vs metro distribution,restaurant_inventory,tier3,planned,wineops_only,build
110,Trend-to-Stale Decay Timer,Competitive Intelligence,market,Trend relevance half-life,trending_wines,tier3,planned,wineops_only,build
111,Market Category Share Estimate,Competitive Intelligence,market,Your share of metro category presence,wine_popularity,tier3,planned,wineops_only,build
112,Contract Term Extractor,Document Intelligence,documents,"MOQ, exclusivity, net-terms from PDFs",vendor PDFs,tier3,planned,wineops_only,build
113,Invoice Anomaly Z-Score,Document Intelligence,documents,±2σ invoice amount flags,invoices,tier3,planned,wineops_only,build
114,Price Sheet Version Diff,Document Intelligence,documents,Month-over-month vendor price diff,EmailIntel,tier3,planned,wineops_only,build
115,PDF Knowledge Graph,Document Intelligence,documents,Wines ↔ prices ↔ vendors ↔ terms graph,documents,tier3,planned,wineops_only,build
116,Vendor SLA Compliance Ledger,Document Intelligence,vendor,Contract terms vs actual performance,"contracts, deliveries",tier3,planned,wineops_only,build
117,Stockout Cascade Probability,Operational Risk,risk,Downstream failure from one stockout,"inventory, POS",tier3,planned,wineops_only,build
118,Single Point of Failure Matrix,Operational Risk,risk,No substitute + low stock + single vendor,"inventory, vendors",tier3,planned,wineops_only,build
119,Holiday Cliff Edge Detector,Operational Risk,risk,Stock vs holiday demand + reorder window,"calendar, inventory",tier3,planned,wineops_only,build
120,Weather Resilience Score,Operational Risk,risk,Portfolio robustness to weather patterns,"weather, POS",tier3,planned,wineops_only,build
121,Infrastructure Degradation Impact Map,Operational Risk,risk,Analytics degradation if Toast/Gmail down,health metrics,tier3,planned,wineops_only,build
122,Revenue Leak Detector,Revenue Intelligence,revenue,"Voids, comps, open checks by server/day",POS,tier3,planned,toast_overlap,build
123,Upsell Conversion Funnel,Revenue Intelligence,revenue,Menu → suggestion → acceptance → bottle,POS,tier3,planned,toast_overlap,build
124,Margin-Velocity Quadrant,Revenue Intelligence,revenue,Stars/Cash Cows/Question Marks/Dogs,"POS, inventory",tier3,planned,toast_overlap,build
125,Optimal Table Turn vs Wine Spend,Revenue Intelligence,revenue,Turn duration vs wine revenue per cover,POS,tier3,planned,toast_overlap,build
126,Repeat Wine Buyer Profile,Subscription & Lifecycle,subscription,Anonymized reorder patterns,POS,tier3,planned,wineops_only,build
127,Wine Life Cycle Stage Classifier,Subscription & Lifecycle,inventory,Emerging/Growing/Peak/Declining/Zombie,"POS, menu",tier3,planned,wineops_only,build
128,Sommelier AI Query Mining,Subscription & Lifecycle,ai,Top queried topics → report templates,chat logs,tier3,planned,wineops_only,build
129,Cross-Branch Performance Benchmarking,Multi-Restaurant,multi_location,"Velocity, margin, stockout per branch",multi-restaurant data,tier2,planned,toast_overlap,build
130,Chain-Level Procurement Aggregation,Multi-Restaurant,multi_location,Group volume discount leverage,"providers, PO",tier2,planned,wineops_only,build
131,Staff Role Impact Analysis,Multi-Restaurant,multi_location,Manager vs staff order outcomes,user_restaurant_access,tier2,planned,wineops_only,build
132,New Restaurant Ramp Curve,Multi-Restaurant,multi_location,Time to stable velocity post-onboarding,onboarding progress,tier2,planned,wineops_only,build
133,Invite Funnel Analytics,Multi-Restaurant,multi_location,Invite → accept → first action,org_invites,tier2,planned,wineops_only,build
134,Recommendation Accept Rate by Model,AI Self-Intelligence,ai,Haiku vs Flash acceptance by type,decision_log,tier3,planned,wineops_only,build
135,Hallucination Proximity Score,AI Self-Intelligence,ai,Draft factual grounding vs inferred,negotiation_facts,tier3,planned,wineops_only,build
136,Token Budget Burn Rate,AI Self-Intelligence,ai,Daily LLM spend per agent,agent_activity_logs,tier3,planned,wineops_only,build
137,Context Compression Effectiveness,AI Self-Intelligence,ai,Summary recall across rounds,procurement_conversations,tier3,planned,wineops_only,build
138,Agent Auto-Escalation Analysis,AI Self-Intelligence,ai,MAX_ROUNDS hits by vendor/wine,ProviderConversationAgent,tier3,planned,wineops_only,build
139,Email Thread Abandonment Rate,Notification Quality,notifications,Threads not responded in 48h,Gmail threads,tier2,planned,wineops_only,build
140,Digest Engagement Heatmap,Notification Quality,notifications,Section click-through by position,digest emails,tier2,planned,wineops_only,build
141,SMS vs Email Action Rate by Urgency,Notification Quality,notifications,Channel speed by alert type,notification_deliveries,tier2,planned,wineops_only,build
142,Notification De-duplication Effectiveness,Notification Quality,notifications,False suppression rate,NotificationAgent,tier2,planned,wineops_only,build
143,Vendor Availability Predictor,Predictive Procurement,procurement,Predict vendor silence windows,email patterns,tier3,planned,wineops_only,build
144,Dynamic Safety Stock Calculator,Predictive Procurement,inventory,Variance-based safety stock per SKU,"POS, lead times",tier3,planned,wineops_only,build
145,Reorder Cycle Optimizer,Predictive Procurement,procurement,Optimal frequency per vendor,"PO, demand",tier3,planned,wineops_only,build
146,Forward-Buy ROI Calculator,Predictive Procurement,financial,Buy now vs predicted price ROI,price history,tier3,planned,wineops_only,build
147,Order Batching Efficiency Score,Predictive Procurement,procurement,Fragmentation cost vs batch savings,PO,tier3,planned,wineops_only,build
148,Storage Temperature Compliance Audit,Compliance & Quality,compliance,Zone vs ontology mismatch,storage_locations,tier2,planned,wineops_only,build
149,Pour Consistency Tracker,Compliance & Quality,compliance,BTG pour variance by server/shift,"POS, inventory",tier3,planned,wineops_only,build
150,Expiry & Vintage Rotation Compliance,Compliance & Quality,inventory,Drink-window countdown alerts,wine ontology,tier2,planned,wineops_only,build
151,Wine Program P&L Statement,P&L & Margin,financial,Dedicated wine income statement,,tier1,planned,wineops_only,build
152,Gross Margin by Tier,P&L & Margin,financial,Entry/mid/premium margin decomposition,,tier1,planned,wineops_only,build
153,COGS Trend vs Menu Price Lag,P&L & Margin,financial,"COGS rising, menu price static alert",,tier1,planned,wineops_only,build
154,Markup Erosion Alert,P&L & Margin,financial,Landed cost past margin floor,,tier1,planned,wineops_only,build
155,Category Contribution Margin Rank,P&L & Margin,financial,Absolute $ by category,,tier1,planned,wineops_only,build
156,Cost-Per-Pour vs Revenue-Per-Pour,P&L & Margin,financial,BTG margin % per glass,,tier1,planned,wineops_only,build
157,Menu Price vs Competitor Benchmarking,P&L & Margin,financial,Your price vs metro peers,,tier2,planned,wineops_only,build
158,True Wine COGS (Landed Cost),P&L & Margin,financial,Invoice + freight + storage + breakage,,tier1,planned,wineops_only,build
159,Weekly Cash Flow Forecast,Cash Flow & Working Capital,financial,Inflows vs vendor outflows 10-day view,,tier1,planned,wineops_only,build
160,Inventory Cash Lock Report,Cash Flow & Working Capital,financial,$ in 30/60/90-day non-movers,,tier1,planned,wineops_only,build
161,Accounts Payable Aging,Cash Flow & Working Capital,financial,Vendor invoices by age bracket,,tier1,planned,wineops_only,build
162,Payment Terms Optimization,Cash Flow & Working Capital,financial,Net-30/45/60 vs cash cycle value,,tier2,planned,wineops_only,build
163,Seasonal Cash Flow Map,Cash Flow & Working Capital,financial,12-month order/revenue cash troughs,,tier2,planned,wineops_only,build
164,Order Batching Cash Impact,Cash Flow & Working Capital,financial,Liquidity from consolidated orders,,tier2,planned,wineops_only,build
165,Budget vs Actual (Monthly),Budget & Variance,financial,Spend vs budget by vendor/category,,tier1,planned,wineops_only,build
166,Spend Velocity vs Budget Burn Rate,Budget & Variance,financial,Pace to overspend by day 10,,tier1,planned,wineops_only,build
167,Emergency Order Premium Tracker,Budget & Variance,financial,Rush order cost premium annualized,,tier2,planned,wineops_only,build
168,Budget Reforecast Trigger,Budget & Variance,financial,Auto-revised forecast at >10% variance,,tier2,planned,wineops_only,build
169,Category Budget Allocation ROI,Budget & Variance,financial,Budget shift vs revenue impact,,tier2,planned,wineops_only,build
170,Vendor Discount Realization Rate,Vendor Financial,vendor,% promos acted on vs available,,tier2,planned,wineops_only,build
171,Vendor Rebate Tracker,Vendor Financial,vendor,Volume rebate threshold progress,,tier2,planned,wineops_only,build
172,Invoice Dispute Recovery Log,Vendor Financial,vendor,Disputed vs recovered $ per vendor,,tier2,planned,wineops_only,build
173,Vendor Concentration Financial Risk,Vendor Financial,financial,Spend % per vendor HHI,,tier1,planned,wineops_only,build
174,Multi-Vendor Price Convergence Alert,Vendor Financial,vendor,Cartel-like simultaneous price hikes,,tier3,planned,wineops_only,build
175,Total Vendor Relationship Value,Vendor Financial,vendor,Spend + savings + reliability score,,tier2,planned,wineops_only,build
176,Early Payment Discount Opportunity,Vendor Financial,financial,2/10 net-30 annualized ROI,,tier2,planned,wineops_only,build
177,Dynamic Pricing Opportunity Scan,Pricing Strategy,financial,Inelastic wines → raise price candidates,,tier2,planned,wineops_only,build
178,Price Floor Guard,Pricing Strategy,financial,Below-floor comp/override alert,,tier1,planned,wineops_only,build
179,Happy Hour ROI Analysis,Pricing Strategy,financial,BTG happy hour net contribution,,tier2,planned,wineops_only,build
180,Bundle Pricing Optimizer,Pricing Strategy,financial,Flight cost vs sell price vs optimal,,tier2,planned,wineops_only,build
181,Price Increase Impact Simulator,Pricing Strategy,financial,Revenue impact at 3 elasticity scenarios,,tier3,planned,wineops_only,build
182,Revenue Per Cover (Wine Only),Profitability,financial,Wine $/guest by day/shift/server,,tier1,planned,toast_overlap,build
183,Server Wine Margin Contribution,Profitability,financial,Highest-margin server ranking,,tier1,planned,toast_overlap,build
184,Table Revenue Efficiency Score,Profitability,revenue,Wine revenue per table per turn,,tier2,planned,toast_overlap,build
185,Private Event vs Floor Revenue,Profitability,financial,Margin/head events vs regular service,,tier2,planned,wineops_only,build
186,Slow Day Profitability Analysis,Profitability,financial,Min sell-through to cover fixed costs,,tier2,planned,wineops_only,build
187,Breakeven Occupancy for Wine Program,Profitability,financial,Min covers to break even on wine,,tier2,planned,wineops_only,build
188,Shrinkage Dollar Value,"Waste, Shrinkage & Loss",inventory,Unexplained loss $ by shift/location,,tier1,planned,wineops_only,build
189,Spoilage Cost by Wine Type,"Waste, Shrinkage & Loss",inventory,Opened BTG spoilage $/week,,tier1,planned,wineops_only,build
190,Comp & Void Financial Impact,"Waste, Shrinkage & Loss",financial,Comp/void $ by reason code,,tier1,planned,toast_overlap,build
191,Pour Variance Loss,"Waste, Shrinkage & Loss",inventory,Inconsistent pour annual $ cost,,tier2,planned,wineops_only,build
192,Breakage Reserve vs Actual,"Waste, Shrinkage & Loss",inventory,Reserve rate vs actual breakage,,tier2,planned,wineops_only,build
193,13-Week Rolling Cash Flow Projection,Financial Forecasting,financial,Base/bull/bear wine cash forecast,,tier2,planned,wineops_only,build
194,Wine Program ROI by Quarter,Financial Forecasting,financial,Quarterly wine program ROI,,tier2,planned,wineops_only,build
195,CapEx Payback Calculator,Financial Forecasting,financial,Cellar/Coravin investment payback,,tier3,planned,wineops_only,build
196,Sommelier Labor ROI,Financial Forecasting,financial,Staff cost vs incremental wine revenue,,tier2,planned,wineops_only,build
197,Seasonal Working Capital Requirement,Financial Forecasting,financial,Pre-NYE/Valentine's capital timeline,,tier2,planned,wineops_only,build
198,Branch Margin Comparison,Multi-Location Financial,multi_location,Gross margin across branches,,tier1,planned,toast_overlap,build
199,Consolidated Group Spend Report,Multi-Location Financial,multi_location,Group spend for vendor leverage,,tier1,planned,wineops_only,build
200,Cost Allocation by Location,Multi-Location Financial,multi_location,Central purchase allocated COGS,,tier2,planned,wineops_only,build
201,Beverage Tax Liability Tracker,Tax & Compliance Financial,compliance,Running beverage tax accrual,,tier2,planned,wineops_only,build
202,COGS Timing for Tax Optimization,Tax & Compliance Financial,financial,Dec vs Jan order tax impact,,tier3,planned,wineops_only,build
203,Negotiation Savings Ledger,Negotiation Financial,vendor,Opening vs final price savings,,tier2,planned,wineops_only,build
204,Best Deal of the Quarter Recap,Negotiation Financial,vendor,Top 5 deals by $ saved,,tier2,planned,wineops_only,build
205,Missed Deal Cost,Negotiation Financial,vendor,Expired promo savings left behind,,tier2,planned,wineops_only,build
206,Vendor Loyalty Premium Analysis,Negotiation Financial,vendor,Reliability premium quantified,,tier2,planned,wineops_only,build
207,One-Page Weekly P&L Summary,Executive Reporting,financial,Monday 90-second owner summary,,tier1,planned,wineops_only,build
208,Month-End Close Checklist,Executive Reporting,financial,Financial close completion gates,,tier1,planned,wineops_only,build
209,Ownership Distribution Report,Executive Reporting,financial,Wine EBITDA for partners/investors,,tier2,planned,wineops_only,build
210,Year-Over-Year Wine Business Growth,Executive Reporting,financial,"Revenue, COGS, margin, covers YoY",,tier1,planned,toast_overlap,build
211,Blind Count Variance Engine,Physical Counting,inventory,"Blind count vs system, counter accuracy",,tier2,planned,wineops_only,build
212,Cycle Count Scheduler,Physical Counting,inventory,ABC rolling count schedule,,tier1,planned,wineops_only,build
213,Perpetual vs Physical Drift Curve,Physical Counting,inventory,Digital drift between counts,,tier2,planned,wineops_only,build
214,Count Confidence Score,Physical Counting,inventory,Stock number freshness rating,,tier2,planned,wineops_only,build
215,Reconciliation Exception Queue,Physical Counting,inventory,Mismatches sorted by $ impact,,tier1,planned,wineops_only,build
216,Ghost Inventory Detector,Physical Counting,inventory,"Positive stock, zero movement 90d",,tier1,planned,wineops_only,build
217,Negative Stock Sentinel,Physical Counting,inventory,Sold more than recorded — immediate flag,,tier1,planned,wineops_only,build
218,Count Cadence ROI,Physical Counting,inventory,Count frequency vs shrinkage reduction,,tier3,planned,wineops_only,build
219,Inventory Record Accuracy (IRA) %,Stock Accuracy,inventory,% SKUs matching physical count,,tier1,planned,wineops_only,build
220,Receiving Error Rate,Stock Accuracy,inventory,Ordered vs received vs invoiced mismatch,,tier1,planned,wineops_only,build
221,Optimistic Lock Conflict Log,Stock Accuracy,inventory,Concurrent update collision frequency,event_store,tier2,planned,wineops_only,build
222,Untracked Movement Detector,Stock Accuracy,inventory,Stock changes with no linked event,event_store,tier1,planned,wineops_only,build
223,Double-Entry Delivery Catch,Stock Accuracy,inventory,Duplicate receiving detection,,tier2,planned,wineops_only,build
224,Manual Override Audit,Stock Accuracy,inventory,Who/when/why manual corrections,decision_log,tier1,planned,wineops_only,build
225,Unit-of-Measure Mismatch Guard,Stock Accuracy,inventory,Bottle vs case confusion at receiving,,tier1,planned,wineops_only,build
226,Bin-Level Location Accuracy,Storage & Location,inventory,System location vs physical location,storage_locations,tier2,planned,wineops_only,build
227,Storage Density Heatmap,Storage & Location,inventory,Packed vs empty zones visual map,storage_locations,tier2,planned,wineops_only,build
